ジャンルID,パス名,商品属性定義書,商品属性定義詳細グループ,項目名（日本語）,必須/任意,入力方式,推奨値・選択肢の有無,入力フォーマット,最大文字数,日付形式,単位有無,楽天推奨単位,楽天推奨単位一覧,複数値可不可,区切り入力最大数,最小値,最大値,商品ページ内同一値登録対象,並び順
406680,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> ノートPCスタンド,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ブランド名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,3,-,-,-,27
406680,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> ノートPCスタンド,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,発売年月日,商品ページ用任意,記述式,なし,DATE,-,YYYY/M/D,-,-,-,不可,-,-,-,-,28
406680,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> ノートPCスタンド,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,発売年月日（テキスト）,商品ページ用任意,記述式,なし,STRING,50,-,-,-,-,不可,-,-,-,-,29
406680,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> ノートPCスタンド,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,不使用添加物,商品ページ用任意,記述式,あり,STRING,500,-,-,-,-,不可,-,-,-,-,30
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ブランド名,必須,記述式,あり,STRING,100,-,-,-,-,可,3,-,-,-,1
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,メーカー型番,必須,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,2
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,原産国／製造国,必須,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,3
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,代表カラー,必須,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,4
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,アイテム数,ナビゲーション用任意,記述式,なし,NUMBER,-,-,-,-,-,不可,-,1,999999999,-,5
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,キャスター付き,ナビゲーション用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,6
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,シリーズ名,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,7
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,自然派志向,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,8
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,組立状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,9
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,注文方法,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,10
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,個数,ナビゲーション用任意,記述式,なし,NUMBER,-,-,-,-,-,不可,-,1,999999999,-,11
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,本体奥行,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,12
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,本体横幅,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,13
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,本体高さ,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,14
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,素材,ナビゲーション用任意,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,15
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,16
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,中古状態,ナビゲーション用任意,選択式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,17
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,販売形態（並行輸入品）,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,18
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,販売形態（訳あり）,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,19
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,インテリアのテイスト,商品ページ用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,20
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,オーガニック認証機関・基準,商品ページ用任意,記述式,あり,STRING,100,-,-,-,-,可,5,-,-,-,21
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,カラー,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,5,-,-,-,22
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,キャラクター,商品ページ用任意,記述式,あり,STRING,100,-,-,-,-,可,5,-,-,-,23
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,シーズン,商品ページ用任意,記述式,あり,STRING,50,-,-,-,-,可,5,-,-,-,24
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,シリーズ名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,25
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ハンドメイド・手作り,商品ページ用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,26
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ブランド名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,3,-,-,-,27
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,発売年月日,商品ページ用任意,記述式,なし,DATE,-,YYYY/M/D,-,-,-,不可,-,-,-,-,28
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,発売年月日（テキスト）,商品ページ用任意,記述式,なし,STRING,50,-,-,-,-,不可,-,-,-,-,29
215775,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> プリンタラック,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,不使用添加物,商品ページ用任意,記述式,あり,STRING,500,-,-,-,-,不可,-,-,-,-,30
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ブランド名,必須,記述式,あり,STRING,100,-,-,-,-,可,3,-,-,-,1
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,メーカー型番,必須,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,2
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,原産国／製造国,必須,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,3
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,代表カラー,必須,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,4
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,アイテム数,ナビゲーション用任意,記述式,なし,NUMBER,-,-,-,-,-,不可,-,1,999999999,-,5
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,キャスター付き,ナビゲーション用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,6
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,シリーズ名,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,7
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,自然派志向,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,8
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,組立状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,9
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,注文方法,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,10
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,個数,ナビゲーション用任意,記述式,なし,NUMBER,-,-,-,-,-,不可,-,1,999999999,-,11
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,本体奥行,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,12
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,本体横幅,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,13
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,本体高さ,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,14
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,素材,ナビゲーション用任意,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,15
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,16
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,中古状態,ナビゲーション用任意,選択式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,17
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,販売形態（並行輸入品）,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,18
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,販売形態（訳あり）,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,19
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,インテリアのテイスト,商品ページ用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,20
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,オーガニック認証機関・基準,商品ページ用任意,記述式,あり,STRING,100,-,-,-,-,可,5,-,-,-,21
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,カラー,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,5,-,-,-,22
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,キャラクター,商品ページ用任意,記述式,あり,STRING,100,-,-,-,-,可,5,-,-,-,23
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,シーズン,商品ページ用任意,記述式,あり,STRING,50,-,-,-,-,可,5,-,-,-,24
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,シリーズ名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,25
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ハンドメイド・手作り,商品ページ用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,26
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,ブランド名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,3,-,-,-,27
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,発売年月日,商品ページ用任意,記述式,なし,DATE,-,YYYY/M/D,-,-,-,不可,-,-,-,-,28
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,発売年月日（テキスト）,商品ページ用任意,記述式,なし,STRING,50,-,-,-,-,不可,-,-,-,-,29
566221,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> PCプラットフォーム・スタンド >> モニターアーム,小物・ファブリック,小物・ファブリック・その他（インテリア・寝具・収納用品）,不使用添加物,商品ページ用任意,記述式,あり,STRING,500,-,-,-,-,不可,-,-,-,-,30
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,ブランド名,必須,記述式,あり,STRING,100,-,-,-,-,可,3,-,-,-,1
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,メーカー型番,必須,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,2
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,原産国／製造国,必須,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,3
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,代表カラー,必須,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,4
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,インテリアのテイスト,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,5
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,シリーズ名,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,6
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,金属の種類,ナビゲーション用任意,記述式,あり,STRING,500,-,-,-,-,不可,-,-,-,-,7
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,組立状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,8
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,本体奥行,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,9
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,本体横幅,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,10
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,本体高さ,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,11
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,素材,ナビゲーション用任意,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,12
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,キャスター付き,ナビゲーション用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,13
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,14
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,中古状態,ナビゲーション用任意,選択式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,15
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,販売形態（並行輸入品）,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,16
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,販売形態（訳あり）,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,対象,17
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,カラー,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,5,-,-,-,18
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,ブランド名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,可,3,-,-,-,19
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,重量,商品ページ用任意,記述式,なし,NUMBER,-,-,有-記述式,kg,kg,不可,-,0,999999999,-,20
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,耐荷重（各部位）,商品ページ用任意,記述式,なし,STRING,250,-,-,-,-,不可,-,-,-,-,21
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,天井突っ張り機能,商品ページ用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,22
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,必要工具,商品ページ用任意,記述式,なし,STRING,500,-,-,-,-,不可,-,-,-,-,23
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,シリーズ名（カナ）,商品ページ用任意,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,24
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,配送サービス,商品ページ用任意,記述式,あり,STRING,50,-,-,-,-,可,3,-,-,-,25
300862,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> キャビネット・シェルフ,収納,ラック・シェルフ（家具）,サイズ情報,商品ページ用任意,記述式,なし,STRING,500,-,-,-,-,不可,-,-,-,-,26
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,ブランド名,必須,記述式,あり,STRING,100,-,-,-,-,可,3,-,-,-,1
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,メーカー型番,必須,記述式,なし,STRING,100,-,-,-,-,不可,-,-,-,-,2
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,原産国／製造国,必須,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,3
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,代表カラー,必須,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,4
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,素材,ナビゲーション用任意,記述式,あり,STRING,250,-,-,-,-,不可,-,-,-,-,5
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,キャスター付き,ナビゲーション用任意,選択式,あり,STRING,25,-,-,-,-,不可,-,-,-,-,6
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,シリーズ名,ナビゲーション用任意,記述式,あり,STRING,100,-,-,-,-,不可,-,-,-,-,7
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,金属の種類,ナビゲーション用任意,記述式,あり,STRING,500,-,-,-,-,不可,-,-,-,-,8
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,組立状態,ナビゲーション用任意,選択式,あり,STRING,50,-,-,-,-,不可,-,-,-,-,9
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,段数,ナビゲーション用任意,記述式,なし,NUMBER,-,-,-,-,-,不可,-,1,999999999,-,10
406689,インテリア・寝具・収納 >> オフィス家具 >> オフィス収納 >> サイドワゴン・ファイルワゴン,収納,サイドワゴン・ファイルワゴン,本体奥行,ナビゲーション用任意,記述式,なし,NUMBER,-,-,有-記述式,cm,mm|cm|m,不可,-,0,999999999,-,11
